trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,2,-1.0,ERR_InvalidAngle,0,2.4,0.267,1.07,0.282,0:258,0,-1.0,-1.0,N/A
2,3,-0.8,OK,1.1,5.7,0.816,2.23,0.832,0:258,0,-0.8,-0.8,-0.597
3,4,-0.6,OK,1.3,9.1,0.133,1.73,0.15,0:258,0,-0.6,-0.6,-0.386
4,5,-0.4,OK,1.33,11.8,0.2,1.83,0.217,0:258,0,-0.4,-0.4,-0.228
5,6,-0.2,OK,1.45,14.7,0.234,1.98,0.251,0:258,0,-0.2,-0.2,-0.194
6,7,0.0,OK,1.78,17.8,0.151,2.24,0.166,0:258,0,0.0,0.0,-0.00833
7,8,0.2,OK,1.83,22.1,0.2,2.33,0.216,0:258,0,0.2,0.2,0.156
8,9,0.4,ERR_TooSlowInstantaneous,0,25.5,0.133,1.67,0.149,0:258,0,0.4,0.4,N/A
9,10,0.6,OK,1.13,28.5,0.168,1.61,0.185,0:258,0,0.6,0.6,0.461
10,11,0.8,OK,1.2,31.5,0.116,1.62,0.134,0:258,0,0.8,0.8,0.85
11,12,1.0,OK,0.6,34.1,0.116,1.02,0.132,0:258,0,1.0,1.0,0.944
12,2,-1.0,OK,1.42,37.2,0.2,1.88,0.215,0:258,0,-1.0,-1.0,-0.997
13,9,0.4,OK,1.52,40.3,0.152,1.77,0.168,0:258,0,0.4,0.4,-0.486
