trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,text.position,text.position.x,text.target,target,endPoint
1,6,5,ERR_TooSlowInstantaneous,0,19.8,1.08,1.49,1.1,0:258,0,5,5,N/A
2,3,2,ERR_TooSlowInstantaneous,0,24.3,0.435,1.76,0.451,0:258,0,2,2,N/A
3,7,6,ERR_TooSlowGlobal,0,29.6,1.02,1.37,1.03,0:258,0,6,6,N/A
4,3,2,OK,8.93,32.6,0.501,9.74,0.517,0:258,0,2,2,1.5
5,9,8,OK,4.5,48.2,0.666,5.48,0.682,0:258,0,8,8,8.5
6,11,10,OK,2.62,57.5,0.6,3.53,0.616,0:258,0,10,10,9.97
7,5,4,OK,2.6,63.7,0.599,3.53,0.616,0:258,0,4,4,3.74
8,8,7,OK,3.06,69.5,0.369,3.74,0.384,0:258,0,7,7,8.01
9,10,9,OK,1.88,74.8,0.467,2.68,0.484,0:258,0,9,9,8.89
10,6,5,OK,1.7,78.9,0.35,2.35,0.367,0:258,0,5,5,4.96
11,7,6,OK,1.38,83.2,0.502,2.2,0.518,0:258,0,6,6,6.21
12,4,3,OK,1.96,87.2,0.318,2.58,0.335,0:258,0,3,3,2.54
13,2,1,OK,1.58,91.6,0.184,2.07,0.201,0:258,0,1,1,1.38
