trialNum,LineNum,presentedTarget,status,movementTime,timeInSession,timeUntilFingerMoved,timeUntilFingerLifted,timeUntilTarget,genstim.position.x,genstim.target,v.position,target,endPoint
1,2,16_25,OK,2.55,12.9,0.351,2.97,0.368,0,16_25,,0.64,0.269
2,4,28_109,OK,2.55,17.7,0.0341,2.67,0.0503,0,28_109,,0.256880734,0.131
3,5,4_5,OK,2.2,21.3,0.101,2.42,0.118,0,4_5,,0.8,0.0639
4,6,11_12,OK,2.33,25.3,0.151,2.67,0.167,0,11_12,,0.916666667,0.492
5,7,11_35,OK,1.63,28.7,0.134,1.85,0.151,0,11_35,,0.314285714,0.342
6,8,3_8,OK,3.48,31.2,0.085,3.68,0.103,0,3_8,,0.375,0.383
7,9,7_15,OK,1.8,35.8,0.116,2,0.133,0,7_15,,0.466666667,0.453
8,10,1_9,OK,1.73,38.5,0.119,1.92,0.135,0,1_9,,0.111111111,0.112
9,11,10_19,OK,2.1,41.2,0.118,2.32,0.134,0,10_19,,0.526315789,0.275
10,12,703_891,OK,2.27,44.4,0.117,2.48,0.132,0,703_891,,0.789,0.863
11,13,1_17,OK,1.7,47.7,0.102,1.88,0.118,0,1_17,,0.058823529,0.118
12,14,291_491,OK,1.93,50.3,0.067,2.12,0.0834,0,291_491,,0.592668024,0.492
13,15,10_13,OK,1.8,53.2,0.101,2.03,0.116,0,10_13,,0.769230769,0.444
14,16,1_6,OK,1.5,55.9,0.0998,1.65,0.116,0,1_6,,0.166666667,0.422
15,17,1_9,ERR_TooSlowInstantaneous,0,58.3,0.0833,1.62,0.1,0,1_9,,0.111111111,N/A
16,18,10_19,OK,1.85,61.3,0.169,2.1,0.185,0,10_19,,0.526315789,0.543
17,19,10_13,OK,2.05,64.1,0.0177,2.17,0.0335,0,10_13,,0.769230769,0.711
18,20,28_109,OK,1.85,67,0.152,2.09,0.169,0,28_109,,0.256880734,0.378
19,21,16_25,OK,1.92,69.8,0.0846,2.08,0.101,0,16_25,,0.64,0.697
20,22,7_15,OK,2.12,72.6,0.134,2.37,0.15,0,7_15,,0.466666667,0.593
21,23,11_12,OK,1.75,75.6,0.134,1.97,0.151,0,11_12,,0.916666667,0.883
22,24,1_17,OK,1.47,78.3,0.0828,1.6,0.0994,0,1_17,,0.058823529,0.304
23,25,120_553,OK,1.55,80.6,0.134,1.72,0.149,0,120_553,,0.217,0.26
24,26,11_35,ERR_FingerLifted,0,83,0.151,2.67,0.168,0,11_35,,0.314285714,N/A
25,27,1_6,OK,1.33,87.6,0.301,1.73,0.318,0,1_6,,0.166666667,0.326
26,28,4_5,OK,1.7,90.1,0.151,1.98,0.168,0,4_5,,0.8,0.822
27,29,3_8,OK,1.37,92.8,0.119,1.57,0.135,0,3_8,,0.375,0.414
28,30,291_491,OK,1.7,95.1,0.12,1.95,0.136,0,291_491,,0.592668024,0.567
29,31,703_891,OK,1.78,97.7,0.134,2,0.151,0,703_891,,0.789,0.433
30,32,1_17,OK,1.22,101,0.117,1.43,0.136,0,1_17,,0.058823529,0.253
31,33,120_553,OK,1.27,103,0.0841,1.45,0.101,0,120_553,,0.217,0.306
32,34,7_15,OK,1.72,106,0.268,2.08,0.284,0,7_15,,0.466666667,0.471
33,35,16_25,OK,1.71,109,0.186,2.02,0.202,0,16_25,,0.64,0.681
34,36,11_12,OK,1.9,112,0.135,2.15,0.151,0,11_12,,0.916666667,0.964
35,37,11_35,OK,1.38,114,0.168,1.6,0.185,0,11_35,,0.314285714,0.599
36,38,703_891,OK,1.97,117,0.169,2.25,0.185,0,703_891,,0.789,0.824
37,39,3_8,OK,1.98,120,0.167,2.25,0.183,0,3_8,,0.375,0.382
38,40,4_5,OK,1.8,123,0.0989,2,0.116,0,4_5,,0.8,0.95
39,41,10_13,OK,1.78,125,0.335,2.2,0.352,0,10_13,,0.769230769,0.817
40,42,1_6,OK,1.36,128,0.17,1.6,0.186,0,1_6,,0.166666667,0.278
41,43,10_19,OK,2.37,131,0.134,2.6,0.151,0,10_19,,0.526315789,0.714
42,44,1_9,OK,1.23,134,0.185,1.5,0.201,0,1_9,,0.111111111,0.194
43,45,28_109,OK,1.37,136,0.2,1.68,0.217,0,28_109,,0.256880734,0.217
44,46,291_491,OK,1.56,138,0.136,1.75,0.152,0,291_491,,0.592668024,0.503
45,3,120_553,OK,1.88,141,0.0169,1.97,0.0334,0,120_553,,0.217,0.328
46,17,1_9,OK,1.25,144,0.27,1.67,0.286,0,1_9,,0.111111111,0.175
47,26,11_35,OK,1.87,146,0.0169,1.91,0.0333,0,11_35,,0.314285714,0.631
